,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
46,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,Camorsi 1a,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA Camorsi 1a,,,
47,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v38,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v38,"(43.210933, 10.901823)",43.210933,10.901823
48,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,immis. Camorsi-c.le1,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA immis. Camorsi-c.le1,,,
49,PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v cappellini,,IMPIANTO GEOTERMIA,,CASTELNUOVO DI VAL DI CECINA v cappellini,,,
50,PI,CRESPINA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),LAVORIA FRAZ. LAVORIA,,impianto di riduzione gas metano,75,CRESPINA LAVORIA FRAZ. LAVORIA,,,
51,PI,CRESPINA,STAZIONE CARABINIERI,PIAZZA DON MINZONI,8,caserma,320,CRESPINA PIAZZA DON MINZONI,,,
52,PI,LARI,SCUOLA ELEMENTARE,VIA GRAMSCI,,Esercizio commerciale,400,LARI VIA GRAMSCI,,,
53,PI,LARI,SCUOLA ELEMENTARE,VIA DEI CILIEGI,12,Magazzino,400,LARI VIA DEI CILIEGI,"(43.5726195, 10.5936974)",43.5726195,10.5936974
54,PI,LARI,SCUOLA ELEMENTARE,VIA GRAMSCI,,Ufficio aperto al pubblico,90,LARI VIA GRAMSCI,,,
55,PI,MONTECATINI VAL DI CECINA,COMUNE DI MONTECATINI VAL DI CECINA,VIA ROMA,,copertura scuola materna,340,MONTECATINI VAL DI CECINA VIA ROMA,,,
56,PI,MONTESCUDAIO,r.m. di giacomo massini,LOC. POGGIO GAGLIARDO,,SITO DISMESSO,,MONTESCUDAIO LOC. POGGIO GAGLIARDO,,,
57,PI,MONTOPOLI IN VAL D'ARNO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),VAGHERA,,impianto di riduzione gas metano,45,MONTOPOLI IN VAL D'ARNO VAGHERA,"(43.6899434, 10.7440267)",43.6899434,10.7440267
58,PI,PALAIA,UNIONE SPORTIVA FORCOLI CALCIO 1921,VIA DEL BOSCO,5,Impianto sportivo,10,PALAIA VIA DEL BOSCO,"(43.6055163, 10.708549)",43.6055163,10.708549
59,PI,PALAIA,PARROCCHIA DI PALAIA,VIA XX SETTEMBRE,22,Cinema/teatro/spettacoli,25,PALAIA VIA XX SETTEMBRE,,,
60,PI,PALAIA,COMUNE DI PALAIA,SAN FRANCESCO,1,Scuola,1250,PALAIA SAN FRANCESCO,"(43.6052789, 10.7750636)",43.6052789,10.7750636
61,PI,PALAIA,SCUOLA MEDIA FRA' DOMENICO DA PECCIOLI,PIANA,1,Scuola,400,PALAIA PIANA,"(43.5763479, 10.7539418)",43.5763479,10.7539418
62,PI,PALAIA,COMUNE DI PALAIA,PIANA - MONTEFOSCOLI,1,Scuola,400,PALAIA PIANA - MONTEFOSCOLI,,,
63,PI,PALAIA,COMUNE DI PALAIA,SAN FRANCESCO,1,Palestra Comunale,285,PALAIA SAN FRANCESCO,"(43.6052789, 10.7750636)",43.6052789,10.7750636
64,PI,PALAIA,COMUNE DI PALAIA,SAN FRANCESCO,1,Scuola,745,PALAIA SAN FRANCESCO,"(43.6052789, 10.7750636)",43.6052789,10.7750636
65,PI,PALAIA,COMUNE DI PALAIA,VIA VERDI - FORCOLI,1,Scuola,480,PALAIA VIA VERDI - FORCOLI,,,
66,PI,PECCIOLI,IMPIANTI SPORTIVI: PALESTRA COMUNALE,VIA SABATINI,11,Impianto sportivo,450,PECCIOLI VIA SABATINI,,,
67,PI,PISA,arpat,VITTORIO VENETO,27,edificio spogliatoio,0,PISA VITTORIO VENETO,"(43.7000625, 10.5903162)",43.7000625,10.5903162
68,PI,PISA,arpat,VITTORIO VENETO,27,edificio per uffici,0,PISA VITTORIO VENETO,"(43.7000625, 10.5903162)",43.7000625,10.5903162
69,PI,PISA,FINDOMESTIC BANCA,VIA SAN FRANCESCO 1,13,Esercizio commerciale,600,PISA VIA SAN FRANCESCO 1,"(43.7187194, 10.4108616)",43.7187194,10.4108616
70,PI,PISA,FINDOMESTIC BANCA,VIA SAN FRANCESCO 1,13,Esercizio commerciale,600,PISA VIA SAN FRANCESCO 1,"(43.7187194, 10.4108616)",43.7187194,10.4108616
71,PI,PISA,Circolo ricreativo dipendenti ospedalieri,VIALE D'ANNUNZIO,42,Impianto sportivo,90,PISA VIALE D'ANNUNZIO,"(43.6866671, 10.343797)",43.6866671,10.343797
72,PI,PISA,PENSIONATO TONIOLO,PIAZZA S. CATERINA,4,Impianto sportivo,600,PISA PIAZZA S. CATERINA,,,
73,PI,PISA,ISTITUTO PROFESSIONALE INDUSTRIA ED ARTIGIANATO,VIA UGO RINDI,47,SCUOLA,1159,PISA VIA UGO RINDI,"(43.7271062, 10.395611)",43.7271062,10.395611
74,PI,PISA,ISTITUTO PROFESSIONALE INDUSTRIA ED ARTIGIANATO,VIA UGO RINDI,47,Scuola,1438,PISA VIA UGO RINDI,"(43.7271062, 10.395611)",43.7271062,10.395611
75,PI,PISA,GAMBACORTI,ITALO POSSENTI,18,Scuola,2580,PISA ITALO POSSENTI,"(43.7031726, 10.4067407)",43.7031726,10.4067407
76,PI,PISA,POSTE ITALIANE S.p.A.,VIA ALDO MORO,27,Ufficio aperto al pubblico,70,PISA VIA ALDO MORO,"(43.7100328, 10.3888483)",43.7100328,10.3888483
77,PI,PISA,PISA,VIA SANTO STEFANO,2,Luogo di culto,10,PISA VIA SANTO STEFANO,"(43.7238008, 10.4010635)",43.7238008,10.4010635
78,PI,PISA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),GRANUCCIO OSPEDALETTO,,impianto di riduzione gas metano,120,PISA GRANUCCIO OSPEDALETTO,,,
79,PI,PISA,saint gobain,VIA AURELIA,,SITO DISMESSO,,PISA VIA AURELIA,"(43.7121971, 10.3841357)",43.7121971,10.3841357
80,PI,PISA,MISSIONARIE GESU' BAMBINO,VIA PISTOLESI,2,Luogo di culto,3295,PISA VIA PISTOLESI,"(43.711429, 10.4322429)",43.711429,10.4322429
81,PI,PISA,depot camp darby,VIA PISORNO,,SITO DISMESSO,,PISA VIA PISORNO,"(43.6287824, 10.2921129)",43.6287824,10.2921129
82,PI,PISA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),GRAZIA DELEDDA SAN PIERO A GRADO,,impianto di riduzione gas metano,200,PISA GRAZIA DELEDDA SAN PIERO A GRADO,,,
84,PI,PISA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),PIERIN DEL VAGA,,impianto di riduzione gas metano,480,PISA PIERIN DEL VAGA,"(43.7107652, 10.3651744)",43.7107652,10.3651744
85,PI,PISA,REGIONE TOSCANA GENIO CIVILE,PIAZZA DEI CAVALIERI,8,Ufficio aperto al pubblico,1945,PISA PIAZZA DEI CAVALIERI,"(43.71946155, 10.4001212673)",43.71946155,10.4001212673
86,PI,PISA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),PISA,,impianto di riduzione gas metano,50,PISA PISA,"(18.4032499, -66.0554098)",18.4032499,-66.0554098
87,PI,POMARANCE,Comune Pomarance,VIALE DI GALLERONE,,Impianto sportivo,1200,POMARANCE VIALE DI GALLERONE,"(43.2944677, 10.8704763)",43.2944677,10.8704763
88,PI,POMARANCE,ENTE Pubblico Comune,VIA MARIO BARDINI,36,Scuola,1000,POMARANCE VIA MARIO BARDINI,"(43.300283, 10.8723372)",43.300283,10.8723372
89,PI,POMARANCE,ENEL - Unità territoriale di Larderello,gabbro6/1,,IMPIANTO GEOTERMIA,,POMARANCE gabbro6/1,"(43.2992367, 10.8724009)",43.2992367,10.8724009
90,PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo min. 2,,IMPIANTO GEOTERMIA,,POMARANCE pozzo min. 2,,,
91,PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo bulera 4,,IMPIANTO GEOTERMIA,,POMARANCE pozzo bulera 4,,,
92,PI,POMARANCE,ENEL - Unità territoriale di Larderello,coll. 85,,IMPIANTO GEOTERMIA,,POMARANCE coll. 85,,,
93,PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo sper. 2LL,,IMPIANTO GEOTERMIA,,POMARANCE pozzo sper. 2LL,,,
94,PI,POMARANCE,ENEL - Unità territoriale di Larderello,gabbro6/2,,IMPIANTO GEOTERMIA,,POMARANCE gabbro6/2,"(43.2992367, 10.8724009)",43.2992367,10.8724009
95,PI,POMARANCE,ENEL - Unità territoriale di Larderello,by-pass coll.cerri,,IMPIANTO GEOTERMIA,,POMARANCE by-pass coll.cerri,,,
96,PI,POMARANCE,ENEL - Unità territoriale di Larderello,imm. Gabbro6-C.le,,IMPIANTO GEOTERMIA,,POMARANCE imm. Gabbro6-C.le,,,
97,PI,POMARANCE,ENEL - Unità territoriale di Larderello,collettrice 4,,IMPIANTO GEOTERMIA,,POMARANCE collettrice 4,,,
98,PI,POMARANCE,ENEL - Unità territoriale di Larderello,coll. 1,,IMPIANTO GEOTERMIA,,POMARANCE coll. 1,,,
99,PI,POMARANCE,ENEL - Unità territoriale di Larderello,gabbro3,,IMPIANTO GEOTERMIA,,POMARANCE gabbro3,"(43.2992367, 10.8724009)",43.2992367,10.8724009
100,PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo poggetto,,IMPIANTO GEOTERMIA,,POMARANCE pozzo poggetto,,,
101,PI,POMARANCE,ENEL - Unità territoriale di Larderello,coll. BP lard2,,IMPIANTO GEOTERMIA,,POMARANCE coll. BP lard2,,,
102,PI,POMARANCE,ENEL - Unità territoriale di Larderello,coll. bassa pressione,,IMPIANTO GEOTERMIA,,POMARANCE coll. bassa pressione,,,
103,PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo sper. 1/LL,,IMPIANTO GEOTERMIA,,POMARANCE pozzo sper. 1/LL,,,
104,PI,POMARANCE,ENEL - Unità territoriale di Larderello,pozzo 57,,IMPIANTO GEOTERMIA,,POMARANCE pozzo 57,,,
105,PI,POMARANCE,Enel - Unità territoriale di Lago,Lago 6 - Nodo 8,,IMPIANTO GEOTERMIA,,POMARANCE Lago 6 - Nodo 8,,,
106,PI,POMARANCE,ENEL - Unità territoriale di Larderello,molinetto 2,,IMPIANTO GEOTERMIA,,POMARANCE molinetto 2,,,
107,PI,POMARANCE,Enel - Unità territoriale di Lago,Vignacce - Nodo 31,,IMPIANTO GEOTERMIA,,POMARANCE Vignacce - Nodo 31,,,
108,PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 45 - C.le lag. Rossi,,IMPIANTO GEOTERMIA,,POMARANCE Nodo 45 - C.le lag. Rossi,,,
109,PI,POMARANCE,Enel - Unità territoriale di Lago,LR/A - Nodo 44,,IMPIANTO GEOTERMIA,,POMARANCE LR/A - Nodo 44,,,
110,PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 41 - Nodo 42,,IMPIANTO GEOTERMIA,,POMARANCE Nodo 41 - Nodo 42,,,
111,PI,POMARANCE,ENEL - Unità territoriale di Larderello,gabbro9,,IMPIANTO GEOTERMIA,,POMARANCE gabbro9,"(43.2992367, 10.8724009)",43.2992367,10.8724009
112,PI,POMARANCE,Enel - Unità territoriale di Lago,Pozzaie 2 - N. 31,,IMPIANTO GEOTERMIA,,POMARANCE Pozzaie 2 - N. 31,,,
113,PI,POMARANCE,Enel - Unità territoriale di Lago,LR/B - Nodo 45,,IMPIANTO GEOTERMIA,,POMARANCE LR/B - Nodo 45,,,
114,PI,POMARANCE,ENEL - Unità territoriale di Larderello,molinetto 1,,IMPIANTO GEOTERMIA,,POMARANCE molinetto 1,,,
115,PI,POMARANCE,Enel - Unità territoriale di Lago,LR/B - Nodo 45,,IMPIANTO GEOTERMIA,,POMARANCE LR/B - Nodo 45,,,
116,PI,POMARANCE,Enel - Unità territoriale di Lago,Scarzai 3 - Nodo 39,,IMPIANTO GEOTERMIA,,POMARANCE Scarzai 3 - Nodo 39,,,
117,PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 43 - Nodo 44,,IMPIANTO GEOTERMIA,,POMARANCE Nodo 43 - Nodo 44,,,
118,PI,POMARANCE,Enel - Unità territoriale di Lago,Bagnolo LR - Nodo 43,,IMPIANTO GEOTERMIA,,POMARANCE Bagnolo LR - Nodo 43,,,
119,PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 42 - Nodo 43,,IMPIANTO GEOTERMIA,,POMARANCE Nodo 42 - Nodo 43,,,
120,PI,POMARANCE,Enel - Unità territoriale di Lago,Meli 2 - Nodo 41,,IMPIANTO GEOTERMIA,,POMARANCE Meli 2 - Nodo 41,,,
121,PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 40 - Nodo 41,,IMPIANTO GEOTERMIA,,POMARANCE Nodo 40 - Nodo 41,,,
122,PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 39 - Nodo 40,,IMPIANTO GEOTERMIA,,POMARANCE Nodo 39 - Nodo 40,,,
123,PI,POMARANCE,ENEL - Unità territoriale di Larderello,S. Andrea5,,IMPIANTO GEOTERMIA,,POMARANCE S. Andrea5,"(43.2992367, 10.8724009)",43.2992367,10.8724009
124,PI,POMARANCE,ENEL - Unità territoriale di Larderello,v113,,IMPIANTO GEOTERMIA,,POMARANCE v113,"(43.2992367, 10.8724009)",43.2992367,10.8724009
126,PI,POMARANCE,Enel - Unità territoriale di Lago,Cioccaia - Nodo 31,,IMPIANTO GEOTERMIA,,POMARANCE Cioccaia - Nodo 31,,,
127,PI,POMARANCE,ENEL - Unità territoriale di Larderello,immis. molinetto2-c.le1,,IMPIANTO GEOTERMIA,,POMARANCE immis. molinetto2-c.le1,,,
128,PI,POMARANCE,ENEL - Unità territoriale di Larderello,v141,,IMPIANTO GEOTERMIA,,POMARANCE v141,"(43.2992367, 10.8724009)",43.2992367,10.8724009
129,PI,POMARANCE,ENEL - Unità territoriale di Larderello,immis. molinetto2-c.le2,,IMPIANTO GEOTERMIA,,POMARANCE immis. molinetto2-c.le2,,,
130,PI,POMARANCE,Enel - Unità territoriale di Lago,Scarzai 1 - Nodo 39,,IMPIANTO GEOTERMIA,,POMARANCE Scarzai 1 - Nodo 39,,,
131,PI,POMARANCE,Enel - Unità territoriale di Lago,Meli 1 - Nodo 40,,IMPIANTO GEOTERMIA,,POMARANCE Meli 1 - Nodo 40,,,
132,PI,POMARANCE,COMPAGNIA PISANA TRASPORTI,VIA DI POSSERA - LARDERELLO,,officina riparazione bus,350,POMARANCE VIA DI POSSERA - LARDERELLO,,,
133,PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 44 - Nodo 45,,IMPIANTO GEOTERMIA,,POMARANCE Nodo 44 - Nodo 45,,,
134,PI,PONSACCO,POSTE ITALIANE S.p.A.,VIA ROSPICCIANO,17/19,Ufficio aperto al pubblico,272,PONSACCO VIA ROSPICCIANO,"(43.6190097, 10.6263598)",43.6190097,10.6263598
135,PI,PONSACCO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),VECCHIA PONTEDERESE,,impianto di riduzione gas metano,105,PONSACCO VECCHIA PONTEDERESE,,,
136,PI,PONTEDERA,ISTITUTO MAGISTRALE E. MONTALE,VIA SALCIOLI,1,Istituto statale,0,PONTEDERA VIA SALCIOLI,"(43.6692765, 10.6386282)",43.6692765,10.6386282
137,PI,PONTEDERA,IMPIANTI SPORTIVI: CAMPO SPORTIVO COMUNALE,PESCINE-I FABBRI,,Impianto sportivo,100,PONTEDERA PESCINE-I FABBRI,,,
138,PI,PONTEDERA,COMUNE DI PONTEDERA TUTELA AMBIENTALE,VIALE AMERICA,2,Magazzino,400,PONTEDERA VIALE AMERICA,"(43.6615389, 10.6108884)",43.6615389,10.6108884
139,PI,PONTEDERA,SCUOLA MATERNA,FILIPPO CORRIDONI,3,Scuola,552,PONTEDERA FILIPPO CORRIDONI,"(43.6657183, 10.6379244)",43.6657183,10.6379244
140,PI,PONTEDERA,IMPIANTI SPORTIVI: IMPIANTO DI CANOTTAGGIO,BOLOGNA,,Impianto sportivo,150,PONTEDERA BOLOGNA,"(43.6705416, 10.642076)",43.6705416,10.642076
141,PI,PONTEDERA,IMPIANTI SPORTIVI: PALESTRA SCUOLA IL ROMITO,U.DINI-IL ROMITO,,Scuola,1300,PONTEDERA U.DINI-IL ROMITO,,,
142,PI,PONTEDERA,COMPAGNIA CARABINIERI,CASTELLI,30,caserma carabinieri,0,PONTEDERA CASTELLI,"(43.6647592, 10.6369004)",43.6647592,10.6369004
143,PI,PONTEDERA,IMPIANTI SPORTIVI: PALESTRA COMUNALE ESPERIA,ZARA-LA ROTTA,,Impianto sportivo,300,PONTEDERA ZARA-LA ROTTA,,,
144,PI,PONTEDERA,COMUNE DI PONTEDERA,PIAZZA GARIBALDI FRAZ. LA ROTTA,7,Ospedale/Casa di cura,200,PONTEDERA PIAZZA GARIBALDI FRAZ. LA ROTTA,,,
145,PI,RIPARBELLA,COMUNE DI RIPARBELLA SCUOLA MEDIA STATALE,A. GRAMSCI,4,Scuola,400,RIPARBELLA A. GRAMSCI,"(43.3633848, 10.5980694)",43.3633848,10.5980694
146,PI,RIPARBELLA,COMUNE DI RIPARBELLA,CIMITERO VECCHIO,,Autorimessa,200,RIPARBELLA CIMITERO VECCHIO,,,
147,PI,RIPARBELLA,GIARDINO UFFICI AZIENDALI,PORCARECCE,,tettoia,30,RIPARBELLA PORCARECCE,,,
148,PI,RIPARBELLA,POSTE ITALIANE S.p.A.,VIA MADONNA,5,Ufficio aperto al pubblico,47,RIPARBELLA VIA MADONNA,,,
149,PI,SAN GIULIANO TERME,POSTE ITALIANE S.p.A.,VIA VERRI,1,Ufficio aperto al pubblico,272,SAN GIULIANO TERME VIA VERRI,"(43.7612631, 10.4396754)",43.7612631,10.4396754
150,PI,SAN GIULIANO TERME,SAS LA CARBONAIA DI DE VEROLI & C.,MEZZANA- VIA XXV APRILE,45,circolo culturale,200,SAN GIULIANO TERME MEZZANA- VIA XXV APRILE,"(43.7223247, 10.4698771)",43.7223247,10.4698771
151,PI,SAN GIULIANO TERME,SCUOLA MEDIA PONTASSERCHIO,S. ANTONIO PONTASSERCHIO,3,Scuola,1600,SAN GIULIANO TERME S. ANTONIO PONTASSERCHIO,,,
152,PI,SAN GIULIANO TERME,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),DON L. STURZO,,impianto di riduzione gas metano,70,SAN GIULIANO TERME DON L. STURZO,"(43.7953224, 10.4196272)",43.7953224,10.4196272
153,PI,SAN GIULIANO TERME,ELEMENTARE GHEZZANO,"VIA MACHIAVELLI, GHEZZANO",57,Scuola,1400,"SAN GIULIANO TERME VIA MACHIAVELLI, GHEZZANO",,,
154,PI,SAN GIULIANO TERME,SAN GIULIANO SRL,via del molino,16,IMPIANTO INDUSTRIALE,,SAN GIULIANO TERME via del molino,"(43.7494326, 10.4713496)",43.7494326,10.4713496
155,PI,SAN MINIATO,POSTE ITALIANE S.p.A.,VIA GOLDONI,2,Ufficio aperto al pubblico,180,SAN MINIATO VIA GOLDONI,,,
156,PI,SAN MINIATO,POSTE ITALIANE S.p.A.,VIA DELLA GIOVENTÃ¹,6/8,Ufficio aperto al pubblico,272,SAN MINIATO VIA DELLA GIOVENTÃ¹,,,
157,PI,SAN MINIATO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),G.MARCONI,,impianto di riduzione gas metano,130,SAN MINIATO G.MARCONI,"(43.7043136, 10.8278263)",43.7043136,10.8278263
158,PI,SAN MINIATO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),ROMAIANO SAN DONATO,,impianto di riduzione gas metano,360,SAN MINIATO ROMAIANO SAN DONATO,,,
159,PI,SANTA CROCE SULL'ARNO,POSTE ITALIANE S.p.A.,VIA COPERNICO,7/9,Ufficio aperto al pubblico,856,SANTA CROCE SULL'ARNO VIA COPERNICO,"(43.7086077, 10.7737506)",43.7086077,10.7737506
160,PI,SANTA CROCE SULL'ARNO,ASSOCIAZIONE CONCIATORI SOCIETA' COOPERATIVA,AMENDOLA,5,caserma carabinieri,500,SANTA CROCE SULL'ARNO AMENDOLA,,,
161,PI,SANTA CROCE SULL'ARNO,ATTIVITA' ESPRESSIVE ATTIVITA' CULTURALI,CRISTIANO BANTI,1,casa di riposo,488,SANTA CROCE SULL'ARNO CRISTIANO BANTI,"(43.7112829, 10.785978)",43.7112829,10.785978
162,PI,SANTA CROCE SULL'ARNO,ATTIVITA' ESPRESSIVE ATTIVITA' CULTURALI,PISACANE,15,Scuola,45,SANTA CROCE SULL'ARNO PISACANE,"(43.7129889, 10.7851045)",43.7129889,10.7851045
163,PI,SANTA CROCE SULL'ARNO,ATTIVITA' ESPRESSIVE ATTIVITA' CULTURALI,MILANO STAFFOLI,,Impianto sportivo,736,SANTA CROCE SULL'ARNO MILANO STAFFOLI,,,
164,PI,SANTA CROCE SULL'ARNO,Comune di Santa Croce sull'Arno,via Cristiano BAnti,1,Ospedale/Casa di cura,0,SANTA CROCE SULL'ARNO via Cristiano BAnti,"(43.7112829, 10.785978)",43.7112829,10.785978
165,PI,SANTA CROCE SULL'ARNO,ATTIVITA' ESPRESSIVE ATTIVITA' CULTURALI,COPERNICO,5/E,Scuola,380,SANTA CROCE SULL'ARNO COPERNICO,"(43.7086077, 10.7737506)",43.7086077,10.7737506
166,PI,SANTA CROCE SULL'ARNO,AUTOLINEE SEQUI SAS,VIA PACINOTTI,28/30,Autorimessa,645,SANTA CROCE SULL'ARNO VIA PACINOTTI,"(43.721536, 10.7711291)",43.721536,10.7711291
168,PI,SANTA MARIA A MONTE,POSTE ITALIANE S.p.A.,VIA 10 MAGGIO,58,Ufficio aperto al pubblico,102,SANTA MARIA A MONTE VIA 10 MAGGIO,,,
169,PI,TERRICCIOLA,PARROCCHIA DI SAN DONATO,VIA ROMA,1,Luogo di culto,100,TERRICCIOLA VIA ROMA,"(43.5245878, 10.6767443)",43.5245878,10.6767443
170,PI,TERRICCIOLA,COMUNE DI TERRICCIOLA,ROMA,55-63,Condominio,502,TERRICCIOLA ROMA,"(41.9738505, 12.5116976)",41.9738505,12.5116976
171,PI,TERRICCIOLA,COMUNE DI TERRICCIOLA,PROV. LE TERRICCIOLESE,1,Magazzino,564,TERRICCIOLA PROV. LE TERRICCIOLESE,,,
172,PI,VECCHIANO,AZIENDA USL5 - PISA,VIA ROMA,,Ospedale/Casa di cura,472,VECCHIANO VIA ROMA,"(43.783693, 10.3876864)",43.783693,10.3876864
173,PI,VICOPISANO,IMPIANTI SPORTIVI: CIRCOLO ACLI,ORSINI,55,circolo ricreativo,196,VICOPISANO ORSINI,"(43.6849995, 10.5518921)",43.6849995,10.5518921
174,PI,VOLTERRA,CARDUCCI,VIALE TRENTO E TRIESTE,26,Scuola,0,VOLTERRA VIALE TRENTO E TRIESTE,"(43.4004407, 10.8582035)",43.4004407,10.8582035
0,PT,AGLIANA,POSTE ITALIANE S.p.A.,VIA GIUSEPPE MAZZINI,11,Ufficio aperto al pubblico,340,AGLIANA VIA GIUSEPPE MAZZINI,"(43.9016686, 11.0053844)",43.9016686,11.0053844
1,PT,CHIESINA UZZANESE,POSTE ITALIANE S.p.A.,VIA FILIPPO TURATI,6,Ufficio aperto al pubblico,177,CHIESINA UZZANESE VIA FILIPPO TURATI,"(43.8402353, 10.7225897)",43.8402353,10.7225897
2,PT,CHIESINA UZZANESE,BANCA DI CREDITO COOPERATIVO DI ALBERGHI,VIA G. GARIBALDI,19,Ufficio aperto al pubblico,210,CHIESINA UZZANESE VIA G. GARIBALDI,,,
3,PT,CHIESINA UZZANESE,IMPIANTI SPORTIVI: ARABESQUE,LIVORNESE DI SOTTO,27,scuola di danza,0,CHIESINA UZZANESE LIVORNESE DI SOTTO,"(43.8328056, 10.7227709)",43.8328056,10.7227709
4,PT,CUTIGLIANO,COMUNE DI CUTIGLIANO DEPOSITO AUTOMEZZI,BRENNERO,,Magazzino,350,CUTIGLIANO BRENNERO,"(44.0959002, 10.7532463)",44.0959002,10.7532463
5,PT,LAMPORECCHIO,SCUOLA MATERNA MASTROMARCO,P.ZZA LA MARMORA,1,Scuola,0,LAMPORECCHIO P.ZZA LA MARMORA,,,
6,PT,LAMPORECCHIO,SCUOLA MATERNA MASTROMARCO,VIA L. DA VINCI,88,Scuola,0,LAMPORECCHIO VIA L. DA VINCI,,,
7,PT,LAMPORECCHIO,SCUOLA MATERNA MASTROMARCO,PIAZZA F. BERNI,1,SEDE COMUNE,0,LAMPORECCHIO PIAZZA F. BERNI,,,
8,PT,LARCIANO,POSTE ITALIANE S.p.A.,VIA PUCCINI,57,Ufficio aperto al pubblico,276,LARCIANO VIA PUCCINI,"(43.8216414, 10.8743909)",43.8216414,10.8743909
9,PT,MARLIANA,IMPIANTI SPORTIVI: PALESTRA COMUNALE MARLIANA,DELLE LOMBARDINE,,palestra comunale,500,MARLIANA DELLE LOMBARDINE,,,
10,PT,MASSA E COZZILE,POSTE ITALIANE S.p.A.,PIAZZA VIII MARZO,1,Ufficio aperto al pubblico,210,MASSA E COZZILE PIAZZA VIII MARZO,,,
11,PT,MONSUMMANO TERME,COMUNE DI MONSUMMANO TE ME,VIA LORENZO VENTAVOLI,3,Ufficio aperto al pubblico,0,MONSUMMANO TERME VIA LORENZO VENTAVOLI,"(43.8681693, 10.8169409)",43.8681693,10.8169409
12,PT,MONSUMMANO TERME,COMUNE DI MONSUMMANO TERME,VIA ROMANI SERENO,17,cimitero,0,MONSUMMANO TERME VIA ROMANI SERENO,,,
13,PT,MONSUMMANO TERME,VALDINIEVOLE,VIA CELIO BOTTAI,8,sala giochi,1600,MONSUMMANO TERME VIA CELIO BOTTAI,,,
14,PT,MONSUMMANO TERME,PASCHI GESTIONI IMMOBILIARI SpA,PIAZZA MARTINI FERDINANDO,8,Ufficio aperto al pubblico,0,MONSUMMANO TERME PIAZZA MARTINI FERDINANDO,,,
15,PT,MONTALE,COMUNE DI MONTALE,VIA I MAGGIO,52,Magazzino,240,MONTALE VIA I MAGGIO,"(43.9362071, 11.022468)",43.9362071,11.022468
16,PT,MONTALE,COMUNE DI MONTALE,ANTONIO PACINOTTI,36,Scuola,604,MONTALE ANTONIO PACINOTTI,"(43.9248833, 11.0105175)",43.9248833,11.0105175
17,PT,MONTALE,COMUNE DI MONTALE,VIA A. GRAMSCI,19,Ufficio aperto al pubblico,1200,MONTALE VIA A. GRAMSCI,"(43.957619, 11.041935)",43.957619,11.041935
18,PT,MONTALE,COMUNE DI MONTALE,GASPARE LUIGI SPONTINI,48,Spazio culturale,389,MONTALE GASPARE LUIGI SPONTINI,,,
19,PT,MONTALE,COMUNE DI MONTALE,VIA A. PACINOTTI,44,Scuola,589,MONTALE VIA A. PACINOTTI,"(43.9248833, 11.0105175)",43.9248833,11.0105175
20,PT,MONTECATINI-TERME,CASA DI RIPOSO SAN FRANCESCO,VIA A. FARINATI,11,casa di riposo,700,MONTECATINI-TERME VIA A. FARINATI,,,
21,PT,MONTECATINI-TERME,DOMINI,MARRUOTA,107,Impianto sportivo,300,MONTECATINI-TERME MARRUOTA,"(43.8796881, 10.7692052855)",43.8796881,10.7692052855
22,PT,PESCIA,ISTITUTO MAGISTRALE C. LORENZINI,SISMONDI,7,Scuola,0,PESCIA SISMONDI,"(43.9003423, 10.6863894)",43.9003423,10.6863894
